date,open,high,low,close,volume
2013-01-10 13:45:00,1469.0,1470.0,1469.0,1469.5,5415
2013-01-10 13:50:00,1469.5,1469.75,1469.25,1469.25,3276
2013-01-10 13:55:00,1469.25,1471.0,1469.25,1470.0,14693
2013-01-10 14:00:00,1470.25,1470.5,1469.75,1470.0,6359
2013-01-10 14:05:00,1470.0,1470.75,1470.0,1470.25,5302
2013-01-10 14:10:00,1470.5,1470.5,1469.25,1469.25,12303
2013-01-10 14:15:00,1469.5,1470.0,1469.25,1469.75,3281
2013-01-10 14:20:00,1469.75,1470.25,1469.0,1469.0,7752
2013-01-10 14:25:00,1469.0,1469.5,1468.75,1469.5,10857
2013-01-10 14:30:00,1469.25,1469.75,1469.0,1469.5,7328
2013-01-10 14:35:00,1469.75,1470.25,1469.5,1470.0,10037
2013-01-10 14:40:00,1470.25,1471.75,1470.0,1471.5,19366
2013-01-10 14:45:00,1471.5,1472.25,1471.25,1472.0,17205
2013-01-10 14:50:00,1472.0,1473.5,1471.75,1472.75,22822
2013-01-10 14:55:00,1473.0,1473.5,1472.5,1473.0,13265
2013-01-10 15:00:00,1473.0,1474.0,1472.75,1473.75,25434
2013-01-10 15:05:00,1473.75,1474.25,1473.0,1473.5,11746
2013-01-10 15:10:00,1473.5,1474.5,1473.25,1474.25,10287
2013-01-10 15:15:00,1474.25,1474.5,1473.25,1474.0,10858
2013-01-10 15:20:00,1474.0,1474.75,1473.75,1474.5,18381
2013-01-10 15:25:00,1474.5,1474.5,1473.75,1474.5,9402
2013-01-10 15:30:00,1474.5,1475.0,1474.0,1474.25,9569
2013-01-10 15:35:00,1474.25,1474.75,1474.0,1474.25,6198
2013-01-10 15:40:00,1474.25,1475.0,1474.0,1474.75,10016
2013-01-10 15:45:00,1474.75,1475.75,1474.75,1475.25,26229
2013-01-10 15:50:00,1475.5,1475.75,1474.75,1475.0,14392
2013-01-10 15:55:00,1475.0,1475.5,1474.0,1475.5,50651
2013-01-10 16:00:00,1475.5,1476.0,1474.75,1475.25,42182
2013-01-10 16:05:00,1475.25,1475.75,1475.0,1475.5,10777
2013-01-10 16:10:00,1475.25,1476.0,1475.25,1475.25,17091
2013-01-10 16:30:00,1475.5,1476.5,1475.25,1476.0,4380
2013-01-10 16:35:00,1476.0,1476.25,1476.0,1476.0,946
2013-01-10 16:40:00,1476.0,1476.5,1476.0,1476.5,877
2013-01-10 16:45:00,1476.25,1476.5,1476.0,1476.25,835
2013-01-10 16:50:00,1476.25,1477.25,1476.0,1477.0,2965
2013-01-10 16:55:00,1477.0,1477.25,1476.75,1477.0,645
2013-01-10 17:00:00,1477.0,1477.25,1476.75,1477.0,263
2013-01-10 17:05:00,1477.25,1478.25,1477.0,1478.25,2999
2013-01-10 17:10:00,1478.25,1478.75,1477.5,1478.5,3674
2013-01-10 18:00:00,1478.25,1478.75,1477.25,1478.5,4931
2013-01-10 18:05:00,1478.25,1480.0,1478.25,1479.25,3878
2013-01-10 18:10:00,1479.25,1479.5,1478.75,1479.0,655
2013-01-10 18:15:00,1479.0,1479.25,1478.75,1479.0,500
2013-01-10 18:20:00,1478.75,1479.0,1478.5,1478.75,642
2013-01-10 18:25:00,1478.5,1478.75,1477.75,1477.75,1146
2013-01-10 18:30:00,1477.75,1478.0,1477.75,1477.75,245
2013-01-10 18:35:00,1478.0,1478.25,1477.75,1478.0,211
2013-01-10 18:40:00,1478.0,1478.5,1478.0,1478.25,352
2013-01-10 18:45:00,1478.25,1478.5,1478.25,1478.5,415
2013-01-10 18:50:00,1478.5,1479.0,1478.25,1478.25,579
2013-01-10 18:55:00,1478.25,1478.5,1478.0,1478.25,590
2013-01-10 19:00:00,1478.25,1478.25,1477.5,1477.75,752
2013-01-10 19:05:00,1477.75,1478.0,1477.5,1478.0,305
2013-01-10 19:10:00,1477.75,1478.25,1477.75,1477.75,911
2013-01-10 19:15:00,1478.0,1478.25,1477.5,1477.5,1277
2013-01-10 19:20:00,1477.5,1478.0,1477.5,1477.75,324
2013-01-10 19:25:00,1477.5,1477.75,1477.25,1477.5,609
2013-01-10 19:30:00,1477.5,1477.5,1477.25,1477.25,167
2013-01-10 19:35:00,1477.25,1477.75,1477.25,1477.5,521
2013-01-10 19:40:00,1477.5,1477.5,1477.0,1477.25,212
2013-01-10 19:45:00,1477.0,1477.25,1476.75,1477.0,396
2013-01-10 19:50:00,1477.0,1477.25,1476.75,1477.25,184
2013-01-10 19:55:00,1477.0,1477.25,1476.75,1477.25,219
2013-01-10 20:00:00,1477.25,1477.25,1476.0,1476.25,1051
2013-01-10 20:05:00,1476.25,1476.5,1476.0,1476.25,263
2013-01-10 20:10:00,1476.5,1476.5,1476.0,1476.25,452
2013-01-10 20:15:00,1476.25,1476.5,1476.0,1476.5,365
2013-01-10 20:20:00,1476.5,1477.0,1476.25,1476.75,511
2013-01-10 20:25:00,1476.5,1476.75,1476.5,1476.75,287
2013-01-10 20:30:00,1476.5,1477.0,1476.25,1476.5,604
2013-01-10 20:35:00,1476.25,1476.75,1476.0,1476.25,526
2013-01-10 20:40:00,1476.25,1476.5,1476.0,1476.25,508
2013-01-10 20:45:00,1476.5,1476.5,1476.25,1476.5,360
2013-01-10 20:50:00,1476.5,1476.75,1476.25,1476.75,387
2013-01-10 20:55:00,1476.75,1476.75,1476.0,1476.0,548
2013-01-10 21:00:00,1476.25,1476.25,1475.75,1475.75,672
2013-01-10 21:05:00,1475.75,1476.5,1475.75,1476.25,341
